expiration_date,strike,bid,ask,bid.1,ask.1
2022-10-21,1675,287.00,290.70,0.65,1.20
2022-10-21,1680,282.00,285.70,0.70,1.25
2022-10-21,1685,277.00,280.80,0.75,1.30
2022-10-21,1690,272.10,275.80,0.75,1.30
2022-10-21,1695,267.10,270.90,0.80,1.35
2022-10-21,1700,262.10,265.90,0.85,1.40
2022-10-21,1705,257.20,261.00,0.85,1.40
2022-10-21,1710,252.20,256.00,0.90,1.45
2022-10-21,1715,247.30,251.10,0.95,1.50
2022-10-21,1720,242.30,246.10,1.00,1.55
2022-10-21,1725,237.40,241.20,1.05,1.60
2022-10-21,1730,232.40,236.30,1.10,1.65
2022-10-21,1735,227.50,231.30,1.15,1.70
2022-10-21,1740,222.50,226.40,1.20,1.75
2022-10-21,1745,217.60,221.50,1.25,1.85
2022-10-21,1750,212.60,216.60,1.30,1.90
2022-10-21,1755,207.70,211.60,1.40,1.95
2022-10-21,1760,202.80,206.70,1.45,2.05
2022-10-21,1765,197.80,201.80,1.50,2.15
2022-10-21,1770,192.90,196.90,1.60,2.20
2022-10-21,1775,188.00,192.00,1.65,2.35
2022-10-21,1780,183.10,187.10,1.75,2.40
2022-10-21,1785,178.20,182.20,1.85,2.50
2022-10-21,1790,173.30,177.30,1.90,2.60
2022-10-21,1795,168.40,172.40,2.00,2.75
2022-10-21,1800,163.50,167.50,2.15,2.90
2022-10-21,1805,158.60,162.60,2.25,3.00
2022-10-21,1810,153.80,157.80,2.35,3.20
2022-10-21,1815,148.90,152.90,2.50,3.40
2022-10-21,1820,144.10,148.10,2.65,3.50
2022-10-21,1825,139.20,143.30,3.00,3.60
2022-10-21,1830,134.40,138.40,3.00,3.90
2022-10-21,1835,129.60,133.60,3.20,4.10
2022-10-21,1840,124.80,128.80,3.40,4.40
2022-10-21,1845,120.10,124.10,3.60,4.60
2022-10-21,1850,115.40,119.30,3.80,4.90
2022-10-21,1855,110.60,114.60,4.10,5.20
2022-10-21,1860,105.90,109.90,4.40,5.50
2022-10-21,1865,101.30,105.20,4.70,5.80
2022-10-21,1870,96.60,100.50,5.00,6.20
2022-10-21,1875,92.00,95.90,5.40,6.60
2022-10-21,1880,87.40,91.30,5.80,7.00
2022-10-21,1885,82.90,86.70,6.20,7.50
2022-10-21,1890,78.40,82.20,6.70,8.00
2022-10-21,1895,74.00,77.70,7.20,8.60
2022-10-21,1900,69.60,73.20,7.80,8.80
2022-10-21,1905,66.00,68.50,8.50,9.50
2022-10-21,1910,61.60,64.10,9.10,10.20
2022-10-21,1915,57.40,59.80,9.90,11.30
2022-10-21,1920,53.30,55.60,10.70,12.10
2022-10-21,1925,49.10,51.20,11.60,12.60
2022-10-21,1930,45.20,47.30,12.50,14.00
2022-10-21,1935,41.20,43.40,13.60,14.70
2022-10-21,1940,37.40,39.50,14.70,15.80
2022-10-21,1945,33.70,35.70,15.90,17.20
2022-10-21,1950,30.10,32.10,17.70,18.80
2022-10-21,1955,26.70,28.50,19.00,20.50
2022-10-21,1960,23.40,25.10,20.60,22.00
2022-10-21,1965,20.30,21.80,22.30,24.00
2022-10-21,1970,17.40,18.80,24.30,25.80
2022-10-21,1975,14.60,15.90,26.50,28.10
2022-10-21,1980,12.20,13.30,28.90,30.60
2022-10-21,1985,9.90,11.00,31.40,33.20
2022-10-21,1990,7.90,9.00,34.30,36.50
2022-10-21,1995,6.20,7.10,37.40,39.70
2022-10-21,2000,4.70,5.20,40.70,43.20
2022-10-21,2005,3.40,4.20,44.00,47.70
2022-10-21,2010,2.65,3.10,48.00,51.40
2022-10-21,2015,1.75,2.30,52.20,56.00
2022-10-21,2020,1.20,1.70,56.60,60.40
2022-10-21,2025,1.00,1.25,61.20,65.00
2022-10-21,2030,0.45,1.00,65.90,69.70
2022-10-21,2035,0.25,0.80,70.70,74.40
2022-10-21,2040,0.35,0.65,75.60,79.30
2022-10-21,2045,0.20,0.60,80.50,84.10
2022-10-21,2050,0.20,0.30,85.40,89.00
2022-10-21,2055,0.15,0.50,90.40,94.00
2022-10-21,2060,0.15,0.30,95.30,98.90
2022-10-21,2065,0.15,0.20,100.30,103.90
2022-10-21,2070,0.10,0.20,105.30,108.90
2022-10-21,2075,0.10,0.20,110.30,113.80
2022-10-21,2080,0.05,0.45,115.30,118.80
2022-10-21,2085,0.05,0.40,120.30,123.80
2022-10-21,2090,0.05,0.15,125.30,128.80
2022-10-21,2095,0.05,0.35,130.30,133.80
2022-10-21,2100,0.05,0.15,135.30,138.80
2022-10-21,2120,0.00,0.15,155.30,158.80
2022-10-21,2125,0.05,0.15,160.30,163.80
2022-10-21,2150,0.00,0.10,185.20,188.80
2022-10-21,2175,0.00,0.05,210.20,213.70
2022-10-21,2200,0.00,0.05,235.20,238.70
2022-10-21,2225,0.05,0.10,260.20,263.70
2022-10-21,2250,0.00,0.05,285.20,288.70
2022-10-28,1225,735.90,738.80,0.00,0.10
2022-10-28,1250,710.80,713.80,0.00,0.10
2022-10-28,1275,686.00,688.70,0.05,0.10
2022-10-28,1300,660.90,663.80,0.00,0.10
2022-10-28,1325,635.90,638.60,0.10,0.20
2022-10-28,1350,610.90,613.60,0.10,0.20
2022-10-28,1375,585.90,588.70,0.10,0.25
2022-10-28,1400,561.00,563.70,0.15,0.25
2022-10-28,1425,536.00,538.80,0.20,0.30
2022-10-28,1450,511.10,513.80,0.25,0.35
2022-10-28,1475,486.10,488.90,0.30,0.40
2022-10-28,1500,461.20,464.00,0.35,0.45
2022-10-28,1510,451.30,454.00,0.35,0.50
2022-10-28,1520,441.30,444.00,0.40,0.50
2022-10-28,1525,436.30,439.10,0.40,0.55
2022-10-28,1530,431.30,434.10,0.45,0.55
2022-10-28,1540,421.40,424.10,0.45,0.60
2022-10-28,1550,411.40,414.20,0.50,0.60
2022-10-28,1555,406.40,409.20,0.50,0.65
2022-10-28,1560,401.40,404.20,0.55,0.65
2022-10-28,1565,396.50,399.20,0.55,0.70
2022-10-28,1570,391.20,394.00,0.60,0.70
2022-10-28,1575,386.50,389.30,0.60,0.75
2022-10-28,1580,381.50,384.30,0.60,0.75
2022-10-28,1585,376.60,379.30,0.65,0.75
2022-10-28,1590,371.30,374.10,0.65,0.80
2022-10-28,1595,366.60,369.40,0.70,0.80
2022-10-28,1600,361.60,364.40,0.70,0.85
2022-10-28,1605,356.70,359.40,0.75,0.85
2022-10-28,1610,351.70,354.50,0.75,0.90
2022-10-28,1615,346.70,349.50,0.80,0.90
2022-10-28,1620,341.80,344.50,0.80,0.95
2022-10-28,1625,336.80,339.50,0.85,0.95
2022-10-28,1630,331.80,334.60,0.90,1.00
2022-10-28,1635,326.90,329.60,0.90,1.05
2022-10-28,1640,321.90,324.70,0.95,1.05
2022-10-28,1645,316.90,319.70,0.95,1.10
2022-10-28,1650,312.00,314.70,1.00,1.15
2022-10-28,1655,307.00,309.80,1.05,1.15
2022-10-28,1660,302.10,304.80,1.10,1.20
2022-10-28,1665,297.10,299.90,1.15,1.25
2022-10-28,1670,292.20,294.90,1.15,1.30
2022-10-28,1675,287.20,289.90,1.20,1.35
2022-10-28,1680,282.30,285.00,1.25,1.40
2022-10-28,1685,277.30,280.10,1.30,1.45
2022-10-28,1690,272.40,275.10,1.35,1.50
2022-10-28,1695,267.40,270.20,1.40,1.55
2022-10-28,1700,262.50,265.20,1.45,1.60
2022-10-28,1705,257.50,260.30,1.50,1.70
2022-10-28,1710,252.60,255.30,1.60,1.75
2022-10-28,1715,247.70,250.40,1.65,1.80
2022-10-28,1720,242.70,245.50,1.70,1.90
2022-10-28,1725,237.80,240.60,1.75,1.95
2022-10-28,1730,232.90,235.60,1.85,2.00
2022-10-28,1735,228.00,230.70,1.90,2.10
2022-10-28,1740,223.40,225.30,2.00,2.20
2022-10-28,1745,218.50,220.40,2.10,2.25
2022-10-28,1750,213.60,215.50,2.20,2.35
2022-10-28,1755,208.70,210.60,2.30,2.45
2022-10-28,1760,203.80,205.70,2.40,2.55
2022-10-28,1765,198.90,200.80,2.50,2.65
2022-10-28,1770,194.00,195.90,2.65,2.80
2022-10-28,1775,189.20,191.10,2.75,2.90
2022-10-28,1780,184.30,185.80,2.90,3.10
2022-10-28,1785,179.40,180.90,3.00,3.20
2022-10-28,1790,174.60,176.10,3.10,3.40
2022-10-28,1795,169.70,171.20,3.30,3.60
2022-10-28,1800,164.90,166.40,3.50,3.70
2022-10-28,1805,160.10,161.60,3.70,3.90
2022-10-28,1810,155.30,156.70,3.80,4.10
2022-10-28,1815,150.50,152.00,4.10,4.30
2022-10-28,1820,145.70,147.20,4.30,4.50
2022-10-28,1825,140.90,142.40,4.50,4.80
2022-10-28,1830,136.20,137.70,4.80,5.00
2022-10-28,1835,131.50,132.90,5.00,5.30
2022-10-28,1840,126.80,128.20,5.30,5.60
2022-10-28,1845,122.10,123.50,5.60,5.90
2022-10-28,1850,117.40,118.80,5.90,6.20
2022-10-28,1855,112.80,114.20,6.30,6.60
2022-10-28,1860,108.20,109.60,6.60,6.90
2022-10-28,1865,103.60,105.00,7.00,7.30
2022-10-28,1870,99.00,100.40,7.50,7.80
2022-10-28,1875,94.50,95.90,8.00,8.30
2022-10-28,1880,90.00,91.40,8.40,8.80
2022-10-28,1885,85.50,86.90,9.00,9.40
2022-10-28,1890,81.10,82.50,9.50,10.00
2022-10-28,1895,76.80,78.10,10.20,10.60
2022-10-28,1900,72.40,73.70,10.90,11.30
2022-10-28,1905,68.20,69.40,11.60,12.00
2022-10-28,1910,64.00,65.20,12.40,12.80
2022-10-28,1915,59.80,61.10,13.20,13.70
2022-10-28,1920,55.70,57.00,14.20,14.60
2022-10-28,1925,51.70,53.00,15.20,15.60
2022-10-28,1930,47.80,49.10,16.20,16.60
2022-10-28,1935,44.60,45.10,17.40,17.80
2022-10-28,1940,40.80,41.30,18.60,19.00
2022-10-28,1945,37.20,37.70,20.00,20.40
2022-10-28,1950,33.70,34.40,21.40,21.80
2022-10-28,1955,30.30,30.90,23.00,23.40
2022-10-28,1960,27.00,27.60,24.70,25.10
2022-10-28,1965,23.80,24.50,26.50,27.30
2022-10-28,1970,20.80,21.40,28.50,29.40
2022-10-28,1975,18.00,18.60,30.50,31.60
2022-10-28,1980,15.50,15.90,33.00,34.00
2022-10-28,1985,13.10,13.50,35.50,36.60
2022-10-28,1990,10.90,11.30,38.40,39.50
2022-10-28,1995,9.00,9.30,41.30,42.50
2022-10-28,2000,7.20,7.60,44.50,45.80
2022-10-28,2005,5.70,6.00,48.10,49.30
2022-10-28,2010,4.50,4.80,51.70,53.00
2022-10-28,2015,3.40,3.70,55.80,57.00
2022-10-28,2020,2.60,2.80,59.90,61.70
2022-10-28,2025,1.95,2.15,64.10,66.10
2022-10-28,2030,1.45,1.65,68.60,70.60
2022-10-28,2035,1.05,1.25,73.30,75.20
2022-10-28,2040,0.80,0.95,78.00,80.00
2022-10-28,2045,0.60,0.75,82.00,84.80
2022-10-28,2050,0.50,0.65,86.90,89.60
2022-10-28,2060,0.30,0.40,96.60,99.40
2022-10-28,2070,0.20,0.30,106.70,109.50
2022-10-28,2075,0.15,0.25,111.70,114.50
2022-10-28,2100,0.10,0.20,136.30,139.10
2022-10-28,2125,0.05,0.15,161.50,164.30
2022-10-28,2150,0.05,0.15,186.30,189.00
2022-10-28,2175,0.00,0.10,211.30,214.00
2022-10-28,2200,0.05,0.10,236.30,239.00
2022-10-28,2225,0.00,0.10,261.30,264.00
2022-10-28,2250,0.00,0.10,286.30,289.00
